
Host: RishiLaptop

Timers On : Wed Oct 15 18:52:45 2025
Timers Off: Wed Oct 15 18:55:14 2025

Wall Time:      148.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s    122.952w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:08:10 2025
Timers Off: Sat Oct 18 17:08:16 2025

Wall Time:        6.01 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.028w      1 calls
build grid                          :      0.000u      0.000s      0.018w      1 calls
post-process grid                   :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.025w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.024w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.018w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.034w      1 calls
SAD Guess                           :      0.000u      0.000s      0.032w      1 calls
HF: Form G                          :      0.000u      0.000s      0.642w      8 calls
RV: Form V                          :      0.000u      0.000s      0.638w      8 calls
Properties                          :      0.000u      0.000s      0.558w  13900 calls
Functional                          :      0.000u      0.000s      1.361w  13900 calls
V_xc                                :      0.000u      0.000s      0.098w   4448 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     25 calls
JK: JK                              :      0.000u      0.000s      0.016w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.016w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.650w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
RV: Form Vx                         :      0.000u      0.000s      2.639w     17 calls
Derivative Properties               :      0.000u      0.000s      0.600w  28912 calls
V_XCd                               :      0.000u      0.000s      0.609w  28912 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.028w      1 calls
| build grid                        :      0.000u      0.000s      0.018w      1 calls
| post-process grid                 :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.023w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.018w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.000u      0.000s      0.034w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.032w      1 calls
HF: Form G                          :      0.000u      0.000s      0.642w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.638w      8 calls
| | Properties                      :      0.000u      0.000s      0.102w   4448 calls
| | Functional                      :      0.000u      0.000s      0.433w   4448 calls
| | V_xc                            :      0.000u      0.000s      0.098w   4448 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.650w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.014w     17 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.014w     17 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     17 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     17 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.012w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     17 calls
RV: Form Vx                         :      0.000u      0.000s      2.639w     17 calls
| Properties                        :      0.000u      0.000s      0.457w   9452 calls
| Functional                        :      0.000u      0.000s      0.928w   9452 calls
| Derivative Properties             :      0.000u      0.000s      0.600w  28912 calls
| V_XCd                             :      0.000u      0.000s      0.609w  28912 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:09:29 2025
Timers Off: Sat Oct 18 17:09:34 2025

Wall Time:        5.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
build grid                          :      0.000u      0.000s      0.019w      1 calls
post-process grid                   :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.025w      1 calls
SAD Guess                           :      0.000u      0.000s      0.024w      1 calls
HF: Form G                          :      0.000u      0.000s      0.624w      8 calls
RV: Form V                          :      0.000u      0.000s      0.620w      8 calls
Properties                          :      0.000u      0.000s      0.538w  13900 calls
Functional                          :      0.000u      0.000s      1.361w  13900 calls
V_xc                                :      0.000u      0.000s      0.097w   4448 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     25 calls
JK: JK                              :      0.000u      0.000s      0.017w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.017w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
DFH: compute_K                      :      0.000u      0.000s      0.014w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.337w      7 calls
HF: Form C                          :      0.000u      0.000s      0.003w      7 calls
RV: Form Vx                         :      0.000u      0.000s      2.625w     17 calls
Derivative Properties               :      0.000u      0.000s      0.594w  28912 calls
V_XCd                               :      0.000u      0.000s      0.608w  28912 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
| build grid                        :      0.000u      0.000s      0.019w      1 calls
| post-process grid                 :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.025w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.024w      1 calls
HF: Form G                          :      0.000u      0.000s      0.624w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.620w      8 calls
| | Properties                      :      0.000u      0.000s      0.097w   4448 calls
| | Functional                      :      0.000u      0.000s      0.420w   4448 calls
| | V_xc                            :      0.000u      0.000s      0.097w   4448 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.002w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.337w      7 calls
HF: Form C                          :      0.000u      0.000s      0.003w      7 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     17 calls
JK: JK                              :      0.000u      0.000s      0.015w     17 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.015w     17 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     17 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     17 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.013w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     17 calls
RV: Form Vx                         :      0.000u      0.000s      2.625w     17 calls
| Properties                        :      0.000u      0.000s      0.441w   9452 calls
| Functional                        :      0.000u      0.000s      0.941w   9452 calls
| Derivative Properties             :      0.000u      0.000s      0.594w  28912 calls
| V_XCd                             :      0.000u      0.000s      0.608w  28912 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:12:18 2025
Timers Off: Sat Oct 18 17:12:32 2025

Wall Time:       14.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:13:56 2025
Timers Off: Sat Oct 18 17:13:58 2025

Wall Time:        2.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.026w      1 calls
build grid                          :      0.000u      0.000s      0.017w      1 calls
post-process grid                   :      0.000u      0.000s      0.009w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.006w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.013w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.028w      1 calls
SAD Guess                           :      0.000u      0.000s      0.027w      1 calls
HF: Form G                          :      0.000u      0.000s      0.570w      8 calls
RV: Form V                          :      0.000u      0.000s      0.567w      8 calls
Properties                          :      0.000u      0.000s      0.093w   4440 calls
Functional                          :      0.000u      0.000s      0.389w   4440 calls
V_xc                                :      0.000u      0.000s      0.077w   4440 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.002w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.312w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.026w      1 calls
| build grid                        :      0.000u      0.000s      0.017w      1 calls
| post-process grid                 :      0.000u      0.000s      0.009w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.013w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.028w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.027w      1 calls
HF: Form G                          :      0.000u      0.000s      0.570w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.567w      8 calls
| | Properties                      :      0.000u      0.000s      0.093w   4440 calls
| | Functional                      :      0.000u      0.000s      0.389w   4440 calls
| | V_xc                            :      0.000u      0.000s      0.077w   4440 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.002w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.312w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:14:30 2025
Timers Off: Sat Oct 18 17:14:35 2025

Wall Time:        4.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
build grid                          :      0.000u      0.000s      0.020w      1 calls
post-process grid                   :      0.000u      0.000s      0.009w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.026w      1 calls
SAD Guess                           :      0.000u      0.000s      0.025w      1 calls
HF: Form G                          :      0.000u      0.000s      0.617w      8 calls
RV: Form V                          :      0.000u      0.000s      0.614w      8 calls
Properties                          :      0.000u      0.000s      0.541w  13900 calls
Functional                          :      0.000u      0.000s      1.331w  13900 calls
V_xc                                :      0.000u      0.000s      0.092w   4448 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     25 calls
JK: JK                              :      0.000u      0.000s      0.017w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.017w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
DFH: compute_K                      :      0.000u      0.000s      0.013w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.332w      7 calls
HF: Form C                          :      0.000u      0.000s      0.003w      7 calls
RV: Form Vx                         :      0.000u      0.000s      2.603w     17 calls
Derivative Properties               :      0.000u      0.000s      0.598w  28912 calls
V_XCd                               :      0.000u      0.000s      0.606w  28912 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.029w      1 calls
| build grid                        :      0.000u      0.000s      0.020w      1 calls
| post-process grid                 :      0.000u      0.000s      0.009w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.026w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.025w      1 calls
HF: Form G                          :      0.000u      0.000s      0.617w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.614w      8 calls
| | Properties                      :      0.000u      0.000s      0.100w   4448 calls
| | Functional                      :      0.000u      0.000s      0.415w   4448 calls
| | V_xc                            :      0.000u      0.000s      0.092w   4448 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.332w      7 calls
HF: Form C                          :      0.000u      0.000s      0.003w      7 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     17 calls
JK: JK                              :      0.000u      0.000s      0.015w     17 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.015w     17 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     17 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     17 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.013w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
RV: Form Vx                         :      0.000u      0.000s      2.603w     17 calls
| Properties                        :      0.000u      0.000s      0.440w   9452 calls
| Functional                        :      0.000u      0.000s      0.916w   9452 calls
| Derivative Properties             :      0.000u      0.000s      0.598w  28912 calls
| V_XCd                             :      0.000u      0.000s      0.606w  28912 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:17:07 2025
Timers Off: Sat Oct 18 17:17:08 2025

Wall Time:        1.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:18:20 2025
Timers Off: Sat Oct 18 17:18:21 2025

Wall Time:        1.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:19:10 2025
Timers Off: Sat Oct 18 17:19:12 2025

Wall Time:        1.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:19:37 2025
Timers Off: Sat Oct 18 17:19:43 2025

Wall Time:        5.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.026w      1 calls
build grid                          :      0.000u      0.000s      0.016w      1 calls
post-process grid                   :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.026w      1 calls
SAD Guess                           :      0.000u      0.000s      0.024w      1 calls
HF: Form G                          :      0.000u      0.000s      0.634w      8 calls
RV: Form V                          :      0.000u      0.000s      0.630w      8 calls
Properties                          :      0.000u      0.000s      0.582w  13900 calls
Functional                          :      0.000u      0.000s      1.405w  13900 calls
V_xc                                :      0.000u      0.000s      0.098w   4448 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     25 calls
JK: JK                              :      0.000u      0.000s      0.018w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.018w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
DFH: compute_K                      :      0.000u      0.000s      0.015w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.342w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
RV: Form Vx                         :      0.000u      0.000s      2.827w     17 calls
Derivative Properties               :      0.000u      0.000s      0.648w  28912 calls
V_XCd                               :      0.000u      0.000s      0.667w  28912 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.026w      1 calls
| build grid                        :      0.000u      0.000s      0.016w      1 calls
| post-process grid                 :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.026w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.024w      1 calls
HF: Form G                          :      0.000u      0.000s      0.634w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.630w      8 calls
| | Properties                      :      0.000u      0.000s      0.104w   4448 calls
| | Functional                      :      0.000u      0.000s      0.423w   4448 calls
| | V_xc                            :      0.000u      0.000s      0.098w   4448 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.002w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.342w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     17 calls
JK: JK                              :      0.000u      0.000s      0.017w     17 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.017w     17 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     17 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     17 calls
